,Token Name,Token Ofered,Price,Compared Token Price,Participants,Total Commited,Compared Token Commited,End Date
0,BETA,50000000.0,0.00013828,BNB,158.944,7340628.0978,BNB,2021-10-08
1,C98,50000000.0,0.00025041,BNB,73.231,5432983.1855,BNB,2021-07-23
2,BAR,74735.0,0.04512816,BNB,62.737,5375198.0423,BNB,2021-04-21
3,TKO,75000000.0,0.00024631,BNB,201.406,10502201.0706,BNB,2021-04-07
4,LINA,21084000.0,0.00031044,BNB,66.138,5840577.1206,BNB,2021-03-18
5,DEGO,380000.0,0.01838235,BNB,29.605,4913880.0787,BNB,2021-03-10
6,ACM,205128.0,0.02006172,BNB,27.414,5709829.9577,BNB,2021-02-24
7,SFP,50000000.0,0.00144927,BNB,47.286,11262241.594,BNB,2021-02-08
8,AXS,29700000.0,0.00377358,BNB,22.096,Nan,Nan,2020-11-04
9,INJ,9000000.0,0.01333333,BNB,22.175,Nan,Nan,2020-10-20
10,ALPHA,100000000.0,0.00073260,BNB,20.112,Nan,Nan,2020-10-09
11,SAND,360000000.0,0.00038758,BNB,23.249,Nan,Nan,2020-08-14
12,CTSI,100000000.0,0.00097911,BNB,22.169,Nan,Nan,2020-04-22
13,WRX,100000000.0,0.00108401,BNB,20.651,Nan,Nan,2020-02-04
14,TROY,800000000.0,0.00032875,BNB,15.605,Nan,Nan,2019-12-04
15,KAVA,6521739.0,0.02581369,BNB,27.126,Nan,Nan,2019-10-24
16,BAND,12368200.0,0.02281717,BNB,35.579,Nan,Nan,2019-09-17
17,PERL,86530500.0,0.00287844,BNB,40.695,Nan,Nan,2019-08-25
18,WIN,49950000000.0,0.00000455,BNB,43.604,Nan,Nan,2019-07-31
19,ERD,5000000000.0,0.00001984,BNB,40.462,Nan,Nan,2019-07-02
20,ONE,1575000000.0,0.00009200,BNB,22.891,Nan,Nan,2019-05-28
21,MATIC,1900000000.0,0.00011900,BNB,13.170,Nan,Nan,2019-04-25
22,CELR,597014925.0,0.00043400,BNB,5.344,Nan,Nan,2019-03-24
23,FET,69204152.0,0.00858400,BNB,5.344,Nan,Nan,2019-03-02
24,BTT,35640000000.0,0.00447261,TRX,2.672,Nan,Nan,2019-02-03
25,BTT,23760000000.0,0.00001824,BNB,2.672,Nan,Nan,2019-02-03
26,BRD,3500000.0,0.00111111,ETH,2.672,Nan,Nan,2017-12-26
27,BRD,3500000.0,0.15000000,BNB,2.672,Nan,Nan,2017-12-26
28,BTT,35640000000.0,0.00447261,TRX,2.672,Nan,Nan,2019-02-03
29,BTT,23760000000.0,0.00001824,BNB,2.672,Nan,Nan,2019-02-03
30,BRD,3500000.0,0.00111111,ETH,2.672,Nan,Nan,2017-12-26
31,BRD,3500000.0,0.15000000,BNB,2.672,Nan,Nan,2017-12-26
