,1h %,3h %,5h %,1d %,5d %
BETA,4960.312409603702,6619.916112236042,6380.90830199595,5478.680937228811,4373.604281168643
C98,1253.1009145002197,1059.7779641388122,1154.862026276906,891.5738189369433,1521.9400183698735
BAR,104.9020293728803,119.59798304634495,106.35653834059045,91.03418016055849,75.93896981835775
TKO,3039.3309336777606,3592.285952759155,3091.814153653964,3127.691088752777,1678.9706711694737
LINA,230.03484793753316,164.17603458695277,151.81835734741787,153.0026078887524,77.75802336903337
DEGO,112.11011675511617,109.41886033848162,95.66858511145395,108.60826424454734,428.5280511488816
ACM,358.35554319381106,266.0019730001307,277.1514011309077,250.92618079591605,123.58906298389569
SFP,1310.7665081024375,1225.6799479376118,1243.5979361364846,1014.4790301120104,1278.924170767736
AXS,69.38822020468626,56.27070315191411,58.576206149068,43.04718596134176,86.0302418393144
INJ,98.37504959376243,99.87504996876251,109.77505244376312,97.25004931251236,125.00005625001407
ALPHA,209.84165984165983,159.1182091182091,171.7035217035217,149.20829920829922,92.24679224679224
SAND,633.5775839826617,662.4232416533362,747.3605449197585,642.1177563341762,483.7504515196863
CTSI,293.11211202009986,281.0603507266803,365.72908049146673,265.8424487544811,158.70433352738712
WRX,182.2852187710445,160.05295154103743,135.9756828811542,212.63549229250654,254.0557743932251
TROY,131.42205323193915,123.81749049429658,114.29657794676808,85.55133079847907,57.53612167300379
KAVA,83.97214811210641,64.68005930186655,76.68919089057007,169.70185200178665,62.27823298412585
BAND,34.89841202918677,23.94175088321644,27.53553573909473,26.176909756994405,55.14632182693997
PERL,75.19906616083712,73.35779102569447,66.82647545198093,54.00703158655384,44.90487903169773
WIN,236.26373626373626,215.1648351648352,212.30769230769232,241.09890109890114,189.23076923076923
ERD,1101.8145161290322,1034.0725806451612,968.0947580645162,933.5685483870968,687.3991935483871
ONE,584.7826086956522,614.1304347826087,743.4782608695652,683.695652173913,897.8260869565216
MATIC,134.45378151260505,95.79831932773108,83.19327731092436,97.47899159663864,68.90756302521008
CELR,227.64976958525352,267.741935483871,251.61290322580646,233.64055299539172,193.31797235023043
FET,345.0139794967381,333.2479030754893,304.4734389561976,303.6579683131407,237.72134203168687
BTT,397.2587719298245,348.9583333333333,374.9999999999999,320.01096491228066,568.2017543859649
BRD,113.32666666666667,152.9266666666667,153.33333333333337,142.66666666666669,26.466666666666683
