Date,Open,High,Low,Close,Volume,Close Time
1612742400000,0.10000000,1.90000000,0.10000000,1.29000000,196034244.98000000,1612828799999
1612828800000,1.29010000,4.45000000,1.28970000,3.46370000,381378132.86000000,1612915199999
1612915200000,3.46340000,3.77000000,2.40000000,2.47880000,135921672.05000000,1613001599999
1613001600000,2.47750000,2.98390000,2.46990000,2.67710000,43471450.46000000,1613087999999
1613088000000,2.67990000,2.93630000,2.60000000,2.73200000,27308963.50000000,1613174399999
1613174400000,2.73250000,2.85000000,2.51000000,2.62000000,19995742.96000000,1613260799999
1613260800000,2.62000000,3.40000000,2.56000000,2.90440000,56700304.19000000,1613347199999
1613347200000,2.90000000,3.05060000,2.51000000,2.74000000,32007775.08000000,1613433599999
1613433600000,2.73900000,3.18000000,2.65000000,2.87600000,25399773.94000000,1613519999999
1613520000000,2.87590000,3.37000000,2.74000000,3.24240000,30469118.42000000,1613606399999
1613606400000,3.24240000,3.34000000,2.99470000,3.09200000,21201372.77000000,1613692799999
1613692800000,3.09210000,3.15160000,2.65000000,2.79310000,26936357.56000000,1613779199999
1613779200000,2.79690000,2.87210000,2.50800000,2.63640000,22294492.38000000,1613865599999
1613865600000,2.63710000,2.90000000,2.55000000,2.77150000,17268342.47000000,1613951999999
1613952000000,2.77160000,2.98900000,1.92000000,2.45500000,30111579.72000000,1614038399999
1614038400000,2.45400000,2.47720000,1.57050000,1.89390000,26075725.84000000,1614124799999
1614124800000,1.88640000,2.25360000,1.76200000,1.96520000,19313854.04000000,1614211199999
1614211200000,1.97450000,2.17110000,1.78880000,1.83040000,19659392.70000000,1614297599999
1614297600000,1.83050000,1.88410000,1.56200000,1.69950000,15440927.36000000,1614383999999
1614384000000,1.69440000,1.84750000,1.65000000,1.74520000,11112449.38000000,1614470399999
1614470400000,1.74520000,1.76770000,1.36660000,1.47000000,13950760.63000000,1614556799999
1614556800000,1.47000000,1.78290000,1.46550000,1.77180000,14556169.16000000,1614643199999
1614643200000,1.77600000,2.29000000,1.70140000,2.16490000,36461342.36000000,1614729599999
1614729600000,2.16470000,2.28000000,1.93140000,1.93400000,20726437.50000000,1614815999999
1614816000000,1.93300000,2.02180000,1.77620000,1.82530000,16206225.81000000,1614902399999
1614902400000,1.82530000,1.82530000,1.66520000,1.78000000,9595818.81000000,1614988799999
1614988800000,1.77990000,2.02680000,1.74310000,1.88780000,12454396.32000000,1615075199999
1615075200000,1.88670000,2.05300000,1.87560000,2.01690000,10864137.27000000,1615161599999
1615161600000,2.01580000,2.18000000,1.90050000,2.12850000,16385571.14000000,1615247999999
1615248000000,2.12840000,2.18000000,2.05560000,2.15490000,10975940.81000000,1615334399999
1615334400000,2.15590000,2.17470000,1.83360000,1.86910000,11787917.20000000,1615420799999
1615420800000,1.86740000,2.08990000,1.83390000,1.92090000,12782704.76000000,1615507199999
